seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
17	43124017	43124096	80	-	ENSP00000514849	ENST00000700182	ENSE00003559512	2	TRUE	1	544
17	43115726	43115779	54	-	ENSP00000514849	ENST00000700182	ENSE00003510592	3	TRUE	1	544
17	43104868	43104956	89	-	ENSP00000514849	ENST00000700182	ENSE00003531836	4	TRUE	1	544
17	43104122	43104261	140	-	ENSP00000514849	ENST00000700182	ENSE00001917948	5	TRUE	1	544
17	43099775	43099877	103	-	ENSP00000514849	ENST00000700182	ENSE00003591036	6	TRUE	1	544
17	43097244	43097289	46	-	ENSP00000514849	ENST00000700182	ENSE00004011550	7	TRUE	1	544
17	43095846	43095922	77	-	ENSP00000514849	ENST00000700182	ENSE00004011559	8	TRUE	1	544
17	43094744	43094860	117	-	ENSP00000514849	ENST00000700182	ENSE00001936588	9	TRUE	1	544
17	43090944	43091032	89	-	ENSP00000514849	ENST00000700182	ENSE00004011558	10	TRUE	1	544
17	43082404	43082575	172	-	ENSP00000514849	ENST00000700182	ENSE00004011560	11	TRUE	1	544
17	43076488	43076611	124	-	ENSP00000514849	ENST00000700182	ENSE00001516235	12	TRUE	1	544
17	43074331	43074521	191	-	ENSP00000514849	ENST00000700182	ENSE00004011562	13	TRUE	1	544
17	43070889	43071238	350	-	ENSP00000514849	ENST00000700182	ENSE00003979058	14	TRUE	1	544
