seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
17	39707007	39707141	135	+	LRG_724p3	LRG_724t3	LRG_724t1e7	5	TRUE	1	603
17	39708321	39708534	214	+	LRG_724p3	LRG_724t3	LRG_724t1e8	6	TRUE	1	603
17	39709318	39709452	135	+	LRG_724p3	LRG_724t3	LRG_724t1e9	7	TRUE	1	603
17	39709813	39709881	69	+	LRG_724p3	LRG_724t3	LRG_724t1e10	8	TRUE	1	603
17	39710086	39710201	116	+	LRG_724p3	LRG_724t3	LRG_724t1e11	9	TRUE	1	603
17	39710340	39710481	142	+	LRG_724p3	LRG_724t3	LRG_724t1e12	10	TRUE	1	603
17	39711928	39712047	120	+	LRG_724p3	LRG_724t3	LRG_724t1e13	11	TRUE	1	603
17	39712322	39712448	127	+	LRG_724p3	LRG_724t3	LRG_724t1e14	12	TRUE	1	603
17	39715286	39715359	74	+	LRG_724p3	LRG_724t3	LRG_724t1e15	13	TRUE	1	603
17	39715446	39715536	91	+	LRG_724p3	LRG_724t3	LRG_724t1e16	14	TRUE	1	603
17	39715740	39715939	200	+	LRG_724p3	LRG_724t3	LRG_724t1e17	15	TRUE	1	603
17	39716301	39716433	133	+	LRG_724p3	LRG_724t3	LRG_724t1e18	16	TRUE	1	603
17	39716515	39716605	91	+	LRG_724p3	LRG_724t3	LRG_724t1e19	17	TRUE	1	603
17	39717320	39717481	162	+	LRG_724p3	LRG_724t3	LRG_724t3e20b	18	TRUE	1	603
