seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
17	39699560	39699587	28	+	LRG_724p4	LRG_724t4	LRG_724t4e5	5	TRUE	1	1240
17	39706990	39707141	152	+	LRG_724p4	LRG_724t4	LRG_724t2e7	6	TRUE	1	1240
17	39708321	39708534	214	+	LRG_724p4	LRG_724t4	LRG_724t1e8	7	TRUE	1	1240
17	39709318	39709452	135	+	LRG_724p4	LRG_724t4	LRG_724t1e9	8	TRUE	1	1240
17	39709813	39709881	69	+	LRG_724p4	LRG_724t4	LRG_724t1e10	9	TRUE	1	1240
17	39710086	39710201	116	+	LRG_724p4	LRG_724t4	LRG_724t1e11	10	TRUE	1	1240
17	39710340	39710481	142	+	LRG_724p4	LRG_724t4	LRG_724t1e12	11	TRUE	1	1240
17	39711928	39712047	120	+	LRG_724p4	LRG_724t4	LRG_724t1e13	12	TRUE	1	1240
17	39712322	39712448	127	+	LRG_724p4	LRG_724t4	LRG_724t1e14	13	TRUE	1	1240
17	39715286	39715359	74	+	LRG_724p4	LRG_724t4	LRG_724t1e15	14	TRUE	1	1240
17	39715446	39715536	91	+	LRG_724p4	LRG_724t4	LRG_724t1e16	15	TRUE	1	1240
17	39715740	39715939	200	+	LRG_724p4	LRG_724t4	LRG_724t1e17	16	TRUE	1	1240
17	39716301	39716433	133	+	LRG_724p4	LRG_724t4	LRG_724t1e18	17	TRUE	1	1240
17	39716515	39716605	91	+	LRG_724p4	LRG_724t4	LRG_724t1e19	18	TRUE	1	1240
17	39717320	39717480	161	+	LRG_724p4	LRG_724t4	LRG_724t1e20a	19	TRUE	1	1240
17	39719787	39719834	48	+	LRG_724p4	LRG_724t4	LRG_724t1e21	20	TRUE	1	1240
17	39723319	39723457	139	+	LRG_724p4	LRG_724t4	LRG_724t1e22	21	TRUE	1	1240
17	39723538	39723660	123	+	LRG_724p4	LRG_724t4	LRG_724t1e23	22	TRUE	1	1240
17	39723912	39724010	99	+	LRG_724p4	LRG_724t4	LRG_724t1e24	23	TRUE	1	1240
17	39724726	39724911	186	+	LRG_724p4	LRG_724t4	LRG_724t1e25	24	TRUE	1	1240
17	39725049	39725204	156	+	LRG_724p4	LRG_724t4	LRG_724t1e26	25	TRUE	1	1240
17	39725327	39725402	76	+	LRG_724p4	LRG_724t4	LRG_724t1e27	26	TRUE	1	1240
17	39725707	39725853	147	+	LRG_724p4	LRG_724t4	LRG_724t1e28	27	TRUE	1	1240
17	39726562	39726659	98	+	LRG_724p4	LRG_724t4	LRG_724t1e29	28	TRUE	1	1240
17	39726815	39727003	189	+	LRG_724p4	LRG_724t4	LRG_724t1e30	29	TRUE	1	1240
17	39727295	39727547	253	+	LRG_724p4	LRG_724t4	LRG_724t1e31	30	TRUE	1	1240
17	39727689	39728041	353	+	LRG_724p4	LRG_724t4	LRG_724t1e32	31	TRUE	1	1240
