seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end
17	43091435	43094642	3208	-	ENSP00000418986	ENST00000497488	ENSE00003786858	2	TRUE	1	1567
17	43090944	43091032	89	-	ENSP00000418986	ENST00000497488	ENSE00004011558	3	TRUE	1	1567
17	43082404	43082575	172	-	ENSP00000418986	ENST00000497488	ENSE00004011560	4	TRUE	1	1567
17	43076488	43076614	127	-	ENSP00000418986	ENST00000497488	ENSE00004011561	5	TRUE	1	1567
17	43074331	43074521	191	-	ENSP00000418986	ENST00000497488	ENSE00004011562	6	TRUE	1	1567
17	43070928	43071238	311	-	ENSP00000418986	ENST00000497488	ENSE00004011554	7	TRUE	1	1567
17	43067608	43067695	88	-	ENSP00000418986	ENST00000497488	ENSE00004011556	8	TRUE	1	1567
17	43063874	43063951	78	-	ENSP00000418986	ENST00000497488	ENSE00004011565	9	TRUE	1	1567
17	43063333	43063373	41	-	ENSP00000418986	ENST00000497488	ENSE00004011567	10	TRUE	1	1567
17	43057052	43057135	84	-	ENSP00000418986	ENST00000497488	ENSE00004011551	11	TRUE	1	1567
17	43051063	43051117	55	-	ENSP00000418986	ENST00000497488	ENSE00004011553	12	TRUE	1	1567
17	43049121	43049194	74	-	ENSP00000418986	ENST00000497488	ENSE00004011568	13	TRUE	1	1567
17	43047643	43047703	61	-	ENSP00000418986	ENST00000497488	ENSE00004011552	14	TRUE	1	1567
17	43045681	43045802	122	-	ENSP00000418986	ENST00000497488	ENSE00004011564	15	TRUE	1	1567
